Setup title,CMUT-CV
Application test name,CMUT-CV
Test date,12/10/2025
Test time,12:47:18
Device ID,MOSCAP_4_C
Count,1
Flags,
Remarks,
Name,Plate,VplateStart,VplateStop,VplateStep,OscLevel,FREQ,IntegTime,HoldTime,DelayTime
Value,"CMU1:MF/SC	MFCMU/SCUU",-2,2,0.1,0.2,100000,MEDIUM,0,0
V,F,S,,ohm,F,ohm,ohm,ohm,rad
-0.9,1.49787E-10,1.09524E-05,0.116373824078199,91304.189036193,1.51815545408931E-10,-10483.4417755596,1219.99820892301,10554.1909728469,-1.4549436198449
-0.8,1.45845E-10,1.02705E-05,0.112077948714438,97366.2431235091,1.47677027094532E-10,-10777.2309764914,1207.88994066686,10844.7086465894,-1.45918416034574
-0.7,1.3904E-10,9.11962E-06,0.104389571498855,109653.691710839,1.40555144273948E-10,-11323.3097169134,1182.03544929741,11384.838635156,-1.46678347928395
-0.6,1.27408E-10,7.227E-06,0.0902779082730612,138370.0013837,1.28446388032809E-10,-12390.7682831286,1118.61264249704,12441.158824247,-1.48076248414837
-0.5,1.12632E-10,5.37343E-06,0.0759293935878346,186100.870393771,1.13281354207205E-10,-14049.5268798448,1066.7720561826,14089.9683522474,-1.49501234841198
-0.4,1.00194E-10,3.84657E-06,0.0611015259845047,259971.871043553,1.0056806392668E-10,-15825.5948138734,966.967992740126,15855.108902555,-1.50977066967427
-0.3,9.44928E-11,2.72451E-06,0.0458891295425058,367038.476643507,9.46917840920131E-11,-16807.6823789995,771.289913999201,16825.3699835923,-1.52493936791138
-0.2,9.66506E-11,2.24938E-06,0.0370406335700076,444566.947336599,9.67832054481387E-11,-16444.4794274993,609.11393672353,16455.7565438165,-1.53377261931523
-0.1,1.06902E-10,2.54753E-06,0.0379274468368224,392537.0849411,1.07055777588781E-10,-14866.5440274766,563.850058249398,14877.2328814564,-1.53288705037766
0,1.20855E-10,3.1362E-06,0.0413008756381555,318857.215738792,1.21061149906208E-10,-13146.6571410597,542.968451640376,13157.8648999013,-1.52951891031124
0.1,1.33364E-10,3.624E-06,0.0432483664081142,275938.189845475,1.33613446852513E-10,-11911.5962383349,515.157078621024,11922.7308851944,-1.5275748943869
0.2,1.43096E-10,4.07113E-06,0.0452801240754369,245632.04810458,1.43389388245794E-10,-11099.4924407597,502.586394891974,11110.8652015409,-1.52554711049613
0.3,1.50259E-10,4.46045E-06,0.0472452675656316,224192.626304521,1.50594395413967E-10,-10568.4506156047,499.309277088408,10580.2390411872,-1.52358616452079
0.4,1.55333E-10,4.78857E-06,0.04906391982655,208830.611226316,1.55706928195776E-10,-10221.4426124844,501.504040850618,10233.7380943281,-1.52177172020657
0.5,1.59038E-10,5.01263E-06,0.0501631586407606,199496.072919805,1.594381940761E-10,-9982.23443348651,500.740409476247,9994.78590279783,-1.52067518063743
0.6,1.61758E-10,5.18056E-06,0.050971929177188,193029.325015056,1.62178269536085E-10,-9813.58005281488,500.217107426745,9826.32029844175,-1.51986847295777
0.7,1.63856E-10,5.32021E-06,0.0516757225726947,187962.505239455,1.64293557834996E-10,-9687.22968747071,500.594593827708,9700.15535778595,-1.51916652860719
0.8,1.6548E-10,5.41496E-06,0.052079867696707,184673.570995908,1.65928833492243E-10,-9591.75929476874,499.537555050216,9604.7584112089,-1.51876346824722
