Setup title,CMUT-Cf
Application test name,"CMUT C-f"
Test date,12/10/2025
Test time,12:44:21
Device ID,MOSCAP_4_C
Count,1
Flags,
Remarks,
Name,Port1,Vbias,FreqStart,FreqStop,NoOfSteps,OscLevel,Single_Double,Linear_Log,OnAbnormalStatus,IntegTime,G_Min,G_Max,Cp_Min,Cp_Max,HoldTime,DelayTime,Range
Value,"CMU1:MF/SC	MFCMU/SCUU",0,1000,2000000,76,0.05,0,1,1,MEDIUM,0,0.001,0,1E-10,0,0,0
Hz,F,S,F,ohm,ohm,,ohm,ohm,rad,V,V
23143.32,1.24127860968743E-10,1.60469E-07,1.24137671713197E-10,492.501119152142,6231733.23196381,0.00889029856121087,-55397.5905039868,55399.779701726,-1.56190626244463,0.005496,0.0498656
25611.76,1.24121760816618E-10,1.94363E-07,1.2413351359849E-10,487.122324884475,5145012.16795378,0.00973075132296324,-50060.0938937709,50062.463870774,-1.56106588258139,0.005544,0.0498704
28343.48,1.24113260162868E-10,2.39419E-07,1.24127822563044E-10,490.010303062856,4176777.94995385,0.0108319685110618,-45237.4194554247,45240.0732656695,-1.55996478189787,0.005384,0.049891776
31366.56,1.24105759544102E-10,2.9167E-07,1.24123407648576E-10,487.475299007058,3428532.24534577,0.0119248538370334,-40878.9328296144,40881.8392621378,-1.55887203815621,0.005432,0.049892608
34712.08,1.24083898887565E-10,3.49511E-07,1.24104594832174E-10,477.129801773533,2861140.27884673,0.0129147175109929,-36944.6564640229,36947.7373338668,-1.55788232722699,0.005368,0.049812992
38414.43,1.24097123501502E-10,4.30035E-07,1.24122703314715E-10,479.228170735588,2325392.11924611,0.0143571364184197,-33379.0915381117,33382.5315329629,-1.55644017672073,0.005496,0.049828608
42511.66,1.24112047857411E-10,5.29166E-07,1.24143670201396E-10,481.368365180578,1889766.16033532,0.0159621011480661,-30156.9549469305,30160.7965275155,-1.55483558109382,0.00548,0.049805824
47045.9,1.24103636158284E-10,6.47219E-07,1.24142265269062E-10,480.7771150109,1545072.0698867,0.0176427021545708,-27250.7641289144,27255.0049026605,-1.55315545481674,0.005352,0.049801664
52063.76,1.24100098259086E-10,7.87581E-07,1.24146805857793E-10,477.701670107813,1269710.67102939,0.0194002670187504,-24623.4585145716,24628.0918486279,-1.55139849312183,0.005448,0.049792704
57616.82,1.24081688250181E-10,9.68626E-07,1.24139384321797E-10,479.822417704393,1032390.21046307,0.0215635010919485,-22251.6007794092,22256.7735037839,-1.54923616700263,0.005448,0.049787264
63762.16,1.24063265712387E-10,1.184E-06,1.24133665997447E-10,478.997375466075,844594.594594595,0.0238213079990504,-20107.9376281592,20113.6419910379,-1.5469795231002,0.005328,0.04977504
70562.96,1.24043849149446E-10,1.44741E-06,1.24129769212251E-10,478.219266605154,690889.243545367,0.0263184116691911,-18170.5215579163,18176.8134543339,-1.54448398916132,0.00544,0.0497744
78089.12,1.24025266528614E-10,1.77659E-06,1.24130978327524E-10,479.353686658084,562876.071575321,0.0291948768175006,-16419.1029013262,16426.0987468495,-1.54160974039992,0.005296,0.04978624
86418.01,1.24002272701425E-10,2.16678E-06,1.24130692425436E-10,477.460816052379,461514.320789374,0.032181111764601,-14836.6787184022,14844.3593403001,-1.53862631730918,0.005448,0.049826304
95635.25,1.23969951924201E-10,2.6445E-06,1.24126185717795E-10,475.957304969457,378143.316316884,0.0355000751750505,-13407.2196360857,13415.6652360737,-1.53531115340651,0.005464,0.04975904
105835.5,1.23927181316564E-10,3.23662E-06,1.24118340156566E-10,475.846318813289,308964.289907373,0.0392747932279734,-12115.81983516,12125.1606173768,-1.53154170881027,0.005456,0.049649536
117123.8,1.23882449202439E-10,3.95432E-06,1.24115517816864E-10,474.882209029422,252887.980740051,0.0433747521016515,-10948.3555759928,10958.6496855601,-1.52744874533542,0.005448,0.049668352
129616.1,1.23828285151685E-10,4.85143E-06,1.24114862621374E-10,475.935920198607,206124.792071616,0.0481073121393015,-9893.21371396655,9904.65509699107,-1.52272607500797,0.005488,0.049785216
143440.8,1.23774898924698E-10,5.92619E-06,1.24124210862611E-10,474.877241368777,168742.480413217,0.0531239579037955,-8939.0410674738,8951.64585986025,-1.51772225911897,0.005312,0.049787072
158740.1,1.23697421785469E-10,7.26017E-06,1.24125772895261E-10,475.325529516995,137737.821566162,0.0588463627152989,-8077.39862897967,8091.37213150237,-1.51201774954163,0.005424,0.049805888
175671.1,1.2360591099425E-10,8.86465E-06,1.24127734416164E-10,474.234501443953,112807.612257675,0.0649743830304985,-7298.79191344304,7314.18223440607,-1.50591314633691,0.005472,0.049800192
194407.9,1.23498889629438E-10,1.08401E-05,1.24136588972375E-10,473.895814799202,92250.0714938054,0.0718582205311095,-6594.87267144388,6611.87740326766,-1.49906140694469,0.005496,0.049748608
215143.3,1.23370930047021E-10,1.31998E-05,1.24143800091337E-10,471.643755356194,75758.7236170245,0.0791492525678925,-5958.91609907028,5977.55208322984,-1.49181173532629,0.005472,0.0496944
238090.2,1.2321546220871E-10,1.6109E-05,1.24156547912749E-10,470.533951793131,62077.0997578993,0.0873940735436129,-5384.04874282827,5404.57057174211,-1.48362373643097,0.005376,0.049672128
263484.6,1.23025203045937E-10,1.97054E-05,1.24176815118694E-10,470.630899041673,50747.5108345936,0.096751132954618,-4864.34509518795,4887.05910013495,-1.47434539829232,0.00532,0.049681024
291587.6,1.22801229258707E-10,2.40422E-05,1.24203551614742E-10,469.612488161037,41593.5313740007,0.106861821285069,-4394.57687052028,4419.59746582747,-1.46433850870585,0.0054,0.04968128
322687.9,1.22538611771018E-10,2.93518E-05,1.2424890834167E-10,468.96896541358,34069.4608167131,0.118140616950026,-3969.58283713684,3997.18898620173,-1.45320079001492,0.005424,0.049635136
357105.4,1.22218986450783E-10,3.58318E-05,1.24305619113547E-10,468.475210425065,27908.170954292,0.130663311818546,-3585.36152118693,3615.83825141428,-1.4408690899981,0.005392,0.049601536
395193.9,1.21843205101832E-10,4.35784E-05,1.24371111828537E-10,466.412571695465,22947.1481284306,0.144038923006749,-3238.10093799167,3271.5192757583,-1.42774131974408,0.00552,0.049571712
437344.8,1.21385699584995E-10,5.3003E-05,1.24450665904968E-10,464.652234689755,18866.856593023,0.15890190011932,-2924.14523892318,2960.83215963339,-1.41321193786225,0.005496,0.049535424
483991.4,1.20827055335959E-10,6.46928E-05,1.24572580154913E-10,464.76591584151,15457.6707145154,0.176065491677462,-2639.7331550519,2680.33551750676,-1.39651701710294,0.005384,0.049492224
535613.4,1.20174724511401E-10,7.87767E-05,1.24734251899238E-10,464.019592178554,12694.1087910512,0.194784029908687,-2382.22606029911,2426.99715374653,-1.3784211164343,0.005352,0.049462336
592741.3,1.19393601703431E-10,9.56932E-05,1.24923166970144E-10,462.558776018443,10450.0633273838,0.215206293376033,-2149.37383457559,2198.58329431246,-1.35882299634956,0.005488,0.049355712
655962.3,1.18513435967063E-10,0.000115901,1.25185946685275E-10,459.882113990868,8628.05325234467,0.237279842442631,-1938.14236075303,1991.95566449508,-1.33782493882222,0.00552,0.049256704
725926.5,1.17418910574481E-10,0.000140567,1.25507702571364E-10,458.49004628409,7114.04525955594,0.262465853690415,-1746.85598083509,1806.0229622906,-1.3141199417224,0.005496,0.04918656
803352.9,1.16092646528551E-10,0.000170422,1.25911801974445E-10,457.59580910444,5867.78702280222,0.29082699222343,-1573.42963803335,1638.61976991361,-1.28777623609837,0.005504,0.048989248
889037.6,1.14678370526904E-10,0.000205414,1.26470128896073E-10,453.900405207207,4868.21735616852,0.320662761945201,-1415.50706559677,1486.50120437275,-1.26049229881149,0.00548,0.048796032
983861.2,1.12987804053714E-10,0.000246994,1.27116882434396E-10,450.012106646587,4048.6813444861,0.353623512096509,-1272.57405475847,1349.79836307981,-1.2308970884893,0.005496,0.048685696
1088798,1.1100244475109E-10,0.000296932,1.27974213182769E-10,446.629727218133,3367.77443993911,0.391018474257323,-1142.221548653,1226.43718935876,-1.19805654235004,0.005496,0.048358144
1204928,1.08645391671828E-10,0.000356435,1.29047142817731E-10,443.546043466567,2805.56062115112,0.433339290555614,-1023.55372137584,1115.52468068492,-1.16188348241984,0.005488,0.04810016
1333444,1.06102022260749E-10,0.000424872,1.30339267705111E-10,437.673118207012,2353.65004048278,0.477947065758331,-915.735548062381,1014.95288185519,-1.12494619706467,0.005656,0.047789952
1475668,1.03281362524661E-10,0.000506456,1.321698248934E-10,431.569148974073,1974.50518899964,0.528872802611491,-816.016907738595,923.111869743567,-1.08431816189648,0.0056,0.04740096
1633061,1.0001827454514E-10,0.000605228,1.34803443268088E-10,426.357706075711,1652.26988837265,0.589735644615939,-722.964111069416,839.319962484232,-1.03795833409315,0.005552,0.046952896
1807241,9.6218217561126E-11,0.000714515,1.37368565872385E-10,419.251669680179,1399.55074421111,0.653970418642113,-641.086596165468,766.005212980071,-0.99163501263865,0.005656,0.046514048
2000000,9.32122755206539E-11,0.000840489,1.41204538600463E-10,404.38081166566,1189.78356647142,0.717544863148189,-563.561712213312,693.632211129341,-0.948392080634298,0.005672,0.045948544
