Setup title,CMUT-CV
Application test name,CMUT-CV
Test date,12/10/2025
Test time,12:47:54
Device ID,MOSCAP_4_C
Count,2
Flags,#
Remarks,
Name,Plate,VplateStart,VplateStop,VplateStep,OscLevel,FREQ,IntegTime,HoldTime,DelayTime
Value,"CMU1:MF/SC	MFCMU/SCUU",-2,2,0.1,0.2,1000000,MEDIUM,0,0
V,F,S,,ohm,F,ohm,ohm,ohm,rad
0.5,1.3963E-10,0.000362249,0.412903523455637,2760.53212017148,1.63435423707209E-10,-973.809346112495,402.089310183879,1053.55610004413,-1.17921595093904
0.4,1.37275E-10,0.000348455,0.403994432308143,2869.81102294414,1.59679858845897E-10,-996.712699035715,402.666381021251,1074.97740386662,-1.18685122359616
0.3,1.34075E-10,0.00032891,0.390435594498367,3040.34538323554,1.54513386758982E-10,-1030.03983298996,402.164214550435,1105.76584908875,-1.19856222130245
0.2,1.29121E-10,0.000302854,0.373298775064978,3301.92105767135,1.47114266424018E-10,-1081.84574453992,403.851691246011,1154.76681780409,-1.21351797495557
0.1,1.21883E-10,0.00026858,0.350712032158973,3723.28542706084,1.3687447852438E-10,-1162.78026997989,407.801031439008,1232.21736617256,-1.23348732120133
0,1.11938E-10,0.000226854,0.322544046348675,4408.12152309415,1.23583431976484E-10,-1287.83398022334,415.383183006556,1353.1664898831,-1.25878735493549
-0.1,1.00437E-10,0.000183774,0.291212805159228,5441.46614863909,1.08954549529248E-10,-1460.74618985242,425.387995572576,1521.42511414319,-1.28742054736281
-0.2,9.1113E-11,0.000152602,0.266563087876763,6552.99406298738,9.75871143778934E-11,-1630.90121176889,434.73806303107,1687.84950336137,-1.31029063973075
-0.3,8.61794E-11,0.000144014,0.265963095292402,6943.76935575708,9.22754177573758E-11,-1724.78160446165,458.728254226015,1784.74177244624,-1.31085091127251
-0.4,8.49521E-11,0.000158642,0.297210527838521,6303.50096443565,9.24562671146471E-11,-1721.40784025577,511.620532827787,1795.82864497285,-1.28190064177167
-0.5,8.56408E-11,0.000189746,0.352624144472289,5270.20332444426,9.62897014163885E-11,-1652.8760682692,582.844009492148,1752.62843650842,-1.23178565499419
-0.6,8.65343E-11,0.00022664,0.416839060376709,4412.28379809389,1.01570050184839E-10,-1566.94756773579,653.164951794558,1697.63044691296,-1.1758583244042
-0.7,8.65689E-11,0.000253528,0.466105430613214,3944.33750907198,1.05376363386048E-10,-1510.34765271666,703.981243045154,1666.35519101604,-1.13463013511214
-0.8,8.62427E-11,0.000267548,0.493741345231088,3737.64707641246,1.07266989906423E-10,-1483.72713013368,732.577429188066,1654.72532054433,-1.11216816555584
-0.9,8.60403E-11,0.000274959,0.508611476222369,3636.90586596547,1.08297689533118E-10,-1469.60608096135,747.458518303125,1648.76810673378,-1.10028329362965
-1,8.58724E-11,0.000279795,0.51856891506943,3574.04528315374,1.0896466650153E-10,-1460.61056489079,757.427235974361,1645.32040650639,-1.09240417830382
-1.1,8.578E-11,0.000282862,0.524817970539416,3535.29282830497,1.09406720130811E-10,-1454.70902428702,763.457437851687,1642.8772336219,-1.08749203417225
-1.2,8.56985E-11,0.000285195,0.529649807115697,3506.37283262329,1.09739407494451E-10,-1450.29891017029,768.150538031798,1641.16488444021,-1.083711182863
-1.3,8.56732E-11,0.000286661,0.532529602509038,3488.44105057891,1.09969072383463E-10,-1447.27003367785,770.714135757707,1639.6922971822,-1.08146495134865
-1.4,8.56094E-11,0.000288088,0.535579378496632,3471.16158951431,1.10166051514968E-10,-1444.6822855434,773.742040616425,1638.83606610916,-1.07909198053664
-1.5,8.55756E-11,0.000289118,0.537706528927103,3458.79537074828,1.10317928712277E-10,-1442.6933586383,775.745638179586,1638.03095886913,-1.07744044789063
-1.6,8.55133E-11,0.00029014,0.540000388111489,3446.61198042324,1.10449014123803E-10,-1440.98111109927,778.130359254928,1637.65485330062,-1.07566276283762
-1.7,8.54853E-11,0.000290879,0.541553117221781,3437.85560318895,1.10556409872312E-10,-1439.58132573003,779.609754443364,1637.12728967966,-1.07446136881344
-1.8,8.55199E-11,0.000291109,0.541762049868513,3435.13941513316,1.10620513918708E-10,-1438.74709539764,779.458575644996,1636.32175187574,-1.07429983039726
-1.9,8.54641E-11,0.000291843,0.54348265595472,3426.49986465325,1.10707921566204E-10,-1437.61115591679,781.316729247793,1636.20954251553,-1.07297060126179
-2,8.54406E-11,0.000292314,0.544509495895114,3420.97881045725,1.10772933999643E-10,-1436.76742454477,782.333506057395,1635.95426187075,-1.07217824475867
