Meta Data
Label,Value,
Date,4/10/2026
Profile,HillsAndValleys
ScanDuration,20 s
ScanLength,503.24 µm
ScanResolution,0.0838454 µm
ScanType,Standard Scan
StylusForce,3 mg
StylusScanRange,524 µm
StylusType,Radius: 5 μm
Time,12:19:34 PM


Analytical Results
Label,Value,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width
Total_ASH,1.813 µm,49.037 µm,-27.477 µm,386.717 µm,22.74 µm


Data Leveling Position
R Cursor Position,49.0372181078079 µm
R Cursor Width,-27.477116144389 µm
M Cursor Position,455.274036509986 µm
M Cursor Width,22.7398 µm


Data
Lateral(µm),Total Profile(µm),,
22.8897900635962,0.00753275795197224,,
22.9736354484446,0.00805453652572969,,
23.0574808332929,0.00637901802435238,,
23.1413262181412,0.0063916498361485,,
23.2251716029896,0.00616624116301116,,
23.3090169878379,0.00467254892157949,,
23.3928623726862,0.00290426474095148,,
23.4767077575346,0.00194789777563975,,
23.5605531423829,0.00190770144791215,,
23.6443985272313,0.000836650994211163,,
23.7282439120796,0.000703061577599038,,
23.8120892969279,-0.000427775423483803,,
23.8959346817763,-0.000562700260774324,,
23.9797800666246,-0.000609141161842649,,
24.063625451473,-0.00152476343821771,,
24.1474708363213,-0.00128155351158041,,
24.2313162211696,-0.000787945996165848,,
24.315161606018,0.000931925844426809,,
24.3990069908663,0.00182374355901359,,
24.4828523757146,0.00172007372110451,,
24.566697760563,0.00249110837947743,,
24.6505431454113,0.00309907460447635,,
24.7343885302597,0.00148703969910777,,
24.818233915108,0.00063034493072617,,
24.9020792999563,-0.000286932188124257,,
24.9859246848047,-0.00112309760114011,,
25.069770069653,0.000241111026962051,,
25.1536154545013,0.000910644227684878,,
25.2374608393497,0.00377379219929676,,
25.321306224198,0.00379265595950182,,
25.4051516090464,0.00374799089203066,,
25.4889969938947,0.00364837603349196,,
25.572842378743,0.00352330391560083,,
25.6566877635914,0.00440944172698692,,
25.7405331484397,0.00436281108982356,,
25.824378533288,0.0053450560530045,,
25.9082239181364,0.00539236652361676,,
25.9920693029847,0.00643669626725117,,
26.0759146878331,0.00648100493154597,,
26.1597600726814,0.00643336571849534,,
